2020.05.09 22:35:04 INFO  started: Metals version 0.9.0 in workspace 'C:\Users\MAJESR\Desktop\Angular\adminpro'
2020.07.02 11:45:34 INFO  started: Metals version 0.9.1 in workspace 'C:\Users\MAJESR\Desktop\mande'
2020.07.02 11:45:40 INFO  time: initialize in 6.36s
2020.07.02 11:45:56 WARN  resetting database: C:\Users\MAJESR\Desktop\mande\.metals\metals.h2.db
2020.07.02 11:46:01 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\mande'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
jul 02, 2020 4:22:42 PM org.eclipse.lsp4j.jsonrpc.services.GenericEndpoint notify
INFORMACIÓN: Unsupported notification method: $/setTraceNotification
2020.07.04 11:56:21 INFO  started: Metals version 0.9.1 in workspace 'C:\Users\MAJESR\Desktop\mande'
2020.07.04 11:56:23 INFO  time: initialize in 2.27s
2020.07.04 11:56:35 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\mande'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.04 20:42:17 INFO  started: Metals version 0.9.1 in workspace 'C:\Users\MAJESR\Desktop\mande'
2020.07.04 20:42:19 INFO  time: initialize in 2.65s
2020.07.04 20:42:29 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\mande'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.05 23:17:17 INFO  started: Metals version 0.9.1 in workspace 'C:\Users\MAJESR\Desktop\mande'
2020.07.05 23:17:21 INFO  time: initialize in 4.63s
2020.07.05 23:17:48 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\mande'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.06 10:55:31 INFO  started: Metals version 0.9.1 in workspace 'C:\Users\MAJESR\Desktop\mande'
2020.07.06 10:55:35 INFO  time: initialize in 4.54s
2020.07.06 10:55:48 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\mande'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.06 22:29:51 INFO  started: Metals version 0.9.1 in workspace 'C:\Users\MAJESR\Desktop\mande'
2020.07.06 22:29:57 INFO  time: initialize in 6.53s
2020.07.06 22:30:10 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\mande'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.07 09:46:39 INFO  started: Metals version 0.9.1 in workspace 'C:\Users\MAJESR\Desktop\mande'
2020.07.07 09:46:40 INFO  time: initialize in 1.72s
2020.07.07 09:46:50 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\mande'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.08 12:06:28 INFO  started: Metals version 0.9.1 in workspace 'C:\Users\MAJESR\Desktop\mande'
2020.07.08 12:06:40 INFO  time: initialize in 12s
2020.07.08 12:07:08 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\mande'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.22 11:34:30 INFO  started: Metals version 0.9.2 in workspace 'C:\Users\MAJESR\Desktop\mande' for client vscode.
2020.07.22 11:34:36 INFO  time: initialize in 5.78s
2020.07.22 11:35:34 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\mande'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.07.22 12:05:02 INFO  shutting down Metals
2020.08.01 15:44:23 INFO  started: Metals version 0.9.2 in workspace 'C:\Users\MAJESR\Desktop\mande' for client vscode.
2020.08.01 15:44:26 INFO  time: initialize in 2.77s
2020.08.01 15:44:31 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\mande'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
2020.08.01 17:56:13 INFO  shutting down Metals
2020.08.02 16:15:07 INFO  started: Metals version 0.9.2 in workspace 'C:\Users\MAJESR\Desktop\mande' for client vscode.
2020.08.02 16:15:29 INFO  time: initialize in 23s
2020.08.02 16:16:00 WARN  no build tool detected in workspace 'C:\Users\MAJESR\Desktop\mande'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. 
